experiment,fold,epoch,train_loss,val_loss,macro_f1,micro_f1,mAP,threshold
Plain + GAP,1,63,1.0258620201129949,1.40382564931676,0.23782010331467734,0.191025641025641,0.28039704842410157,0.3
Plain + GAP,1,64,1.0196218687111345,1.1614232339720796,0.27494356620927435,0.2822902796271638,0.28384643286615086,0.5499999999999999
Plain + GAP,1,65,1.0088414263204146,1.2056908002798108,0.2548591745577813,0.2737940026075619,0.27663207634492776,0.5499999999999999
Plain + GAP,1,66,1.0004056711665918,1.1944814358932385,0.26004676186249664,0.28975265017667845,0.28765097140626256,0.5999999999999999
Plain + GAP,1,67,0.9813323982860656,1.175797872785209,0.2642308716228147,0.27320954907161804,0.27816618428595175,0.5499999999999999
Plain + GAP,1,68,1.0119466017287069,1.2105210622151692,0.261019946871815,0.2524271844660194,0.2920418854616083,0.5499999999999999
Plain + GAP,1,69,1.0200370035536301,1.1998547799345376,0.26674628444328297,0.26146788990825687,0.2884562997483291,0.49999999999999994
Plain + GAP,1,70,1.0179601047859816,1.1741418354753135,0.2720098852261963,0.26515151515151514,0.27739189128877906,0.5499999999999999
Plain + GAP,1,71,1.0039051904704401,1.202510434648265,0.27309624836952456,0.25841184387617766,0.28982483401749115,0.5999999999999999
Plain + GAP,1,72,0.9892926750287332,1.1706715511239094,0.2916862947903001,0.2877906976744186,0.2825826953585488,0.5999999999999999
Plain + GAP,1,73,0.9911452210448913,1.1519917146019314,0.2679533879142298,0.30927835051546393,0.2962036687875992,0.5999999999999999
Plain + GAP,1,74,0.9898074255180707,1.177738650985386,0.2736473387635392,0.28034188034188035,0.2855175777688112,0.5999999999999999
Plain + GAP,1,75,0.9863826646613727,1.2550703114357546,0.23919512880840013,0.20376831821353802,0.2935293554211704,0.39999999999999997
Plain + GAP,1,76,1.0126907288051041,1.268491620602815,0.26816371266627065,0.30416666666666664,0.27898743014120087,0.7
Plain + GAP,1,77,1.0024473185096283,1.1944254343060479,0.27158876942605137,0.27460510328068044,0.28870134916988993,0.5499999999999999
Plain + GAP,1,78,0.9880041791658801,1.1572392211444136,0.27823471529013366,0.27577639751552796,0.2909422083157336,0.5499999999999999
Plain + GAP,1,79,0.9828424480877722,1.1731598619101704,0.28768383198755726,0.30196936542669583,0.2979125056557778,0.6499999999999999
Plain + GAP,1,80,0.9692637496958665,1.1931883494059246,0.2535597566990133,0.2910321489001692,0.287402297260806,0.5999999999999999
Plain + GAP,1,81,0.9811324636792876,1.1738757050555686,0.29400655505818046,0.3071786310517529,0.2952410712965406,0.5999999999999999
